nombreCliente,idProducto,precioUnitario,unidades,iva
Janeva,12,722.93,10,10.5
Rheta,66,989.33,8,10.5
Brand,78,893.57,2,10.5
Rudd,1,872.0,6,10.5
Ike,78,226.87,1,21
Dyann,12,324.32,4,21
Loretta,66,876.08,5,21
Brendon,12,110.8,5,10.5
Rock,45,993.55,2,21
Devina,5,625.73,8,10.5
Paxton,1,602.26,9,10.5
Warde,1,992.96,2,10.5
Gauthier,12,995.91,7,21
Towney,12,924.59,7,21
Orsa,21,441.41,4,21
Cori,21,762.11,2,10.5
Caroline,78,963.64,10,10.5
Renelle,78,287.9,2,21
Brad,78,792.15,3,10.5
Chad,1,289.19,10,10.5
Sigvard,12,198.3,9,21
Trisha,5,915.25,5,10.5
Nester,5,666.53,7,10.5
Grenville,66,941.24,9,10.5
Keen,12,342.89,4,21
Dannie,21,700.92,2,21
Remus,12,327.97,10,10.5
Karlotte,78,173.69,9,10.5
Anallise,21,767.82,6,21
Eadmund,45,322.47,6,10.5
Gertrude,45,827.36,7,10.5
Aubree,5,474.89,7,10.5
Aguistin,12,280.43,3,10.5
Sheffie,5,510.17,5,21
Laureen,12,888.95,5,10.5
Alejandra,45,672.57,10,10.5
Aggie,66,744.83,8,10.5
Annelise,45,116.68,4,21
Sidonia,66,449.42,9,21
Gabrielle,78,759.32,10,10.5
Mohammed,45,871.33,7,10.5
Tan,5,187.03,6,21
Anthea,66,871.93,3,10.5
Shanan,78,164.19,1,21
Nial,21,750.4,6,21
Fidelio,5,110.6,6,10.5
Hope,78,570.48,1,21
Davidde,1,641.97,2,21
Golda,21,314.61,2,21
Lianne,45,153.01,7,21
Sidnee,12,524.13,1,10.5
Care,45,662.1,2,21
Nowell,78,745.63,4,21
Nichole,12,573.77,10,21
Olwen,66,169.11,10,21
Saleem,12,912.2,1,10.5
Camala,21,222.71,10,21
Alexandr,12,611.53,10,21
Karil,5,346.51,1,21
Gib,12,430.2,6,21
Braden,21,997.62,9,21
Fernandina,21,208.3,2,21
Clovis,12,340.27,6,10.5
Theresina,12,427.49,3,10.5
Dixie,21,530.79,3,10.5
Arron,45,505.6,5,10.5
Gail,12,167.58,9,10.5
Myrilla,78,801.56,1,21
Muffin,5,172.4,9,10.5
Idalina,66,997.24,2,21
Dill,1,586.48,5,10.5
Marcus,66,383.69,8,21
Kendell,5,742.59,2,21
Birgitta,12,284.97,1,10.5
Marsh,1,811.37,3,21
Stearne,78,892.85,1,10.5
Renie,45,555.25,10,21
Odella,12,342.6,8,10.5
Brose,45,189.32,9,21
Jenn,45,173.2,9,10.5
Maryanna,12,972.38,7,21
Killy,66,177.77,5,10.5
Wait,66,563.96,10,21
Lazar,5,526.2,7,21
Bradan,12,157.56,8,10.5
Wallis,45,186.91,10,10.5
Jessalyn,1,990.43,7,21
Derril,66,379.98,5,10.5
Lindon,66,289.84,1,10.5
Carey,12,377.16,9,21
Bond,78,701.3,1,10.5
Rhianna,5,124.81,10,10.5
Valeria,12,811.21,7,21
Gerhard,12,276.07,9,10.5
Lem,12,684.82,5,10.5
Heather,66,514.97,1,10.5
Jeanne,21,473.62,7,21
Che,5,227.67,4,21
Karry,21,514.03,2,21
Janis,12,844.03,4,21
